song,artist,avg_popularity,total_days,reentry_count,momentum_score,momentum_score_final,album_type,is_explicit,Momentum_Level
"Boys Like Girls (Feat. Gist, Jayci yucca)",Leellamarz,0.26265664160401,0.007233273056057867,0.0,14.6,0.13349830271882235,album,False,Low
Broken Melodies,NCT DREAM,0.66750208855472,0.019891500904159132,0.03225806451612903,46.891666666666666,0.3461701074518336,single,False,Low
Broken Melodies,NCT DREAM,0.66750208855472,0.019891500904159132,0.03225806451612903,46.891666666666666,0.3461701074518336,album,False,Low
Bubble,STAYC,0.581453634085213,0.0,0.0,29.3,0.2907268170426065,single,False,Low
Bubble Gum,NewJeans,0.78093671679198,0.22965641952983723,0.22580645161290322,147.34921875,0.5045265745775218,single,False,Medium
Bubble Gum (Instrumental),NewJeans,0.5213032581453634,0.0,0.0,26.3,0.2606516290726817,single,False,Low
But Daddy I Love Him,Taylor Swift,0.8120300751879699,0.0018083182640144665,0.0,41.1,0.40655753307318926,album,True,Medium
But Sometimes,BOYNEXTDOOR,0.66798575385833,0.0325497287522604,0.03225806451612903,49.015789473684215,0.35020940845806897,single,False,Low
CARNIVAL,Kanye West & Ty Dolla $ign,0.858813700918964,0.0036166365280289334,0.0,43.733333333333334,0.4304918414178907,album,True,Medium
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,0.8105979233798782,0.023508137432188065,0.0967741935483871,74.62857142857143,0.43170624162927296,single,True,Medium
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,0.8105979233798782,0.023508137432188065,0.0967741935483871,74.62857142857143,0.43170624162927296,album,True,Medium
CHIHIRO,Billie Eilish,0.8370927318295739,0.0054249547920434,0.03225806451612903,52.95,0.4266254652556258,album,False,Medium
CRAZY,LE SSERAFIM,0.7739831506477035,0.14828209764918623,0.03225806451612903,73.50240963855421,0.43792781752183346,single,False,Medium
CRAZY,LE SSERAFIM,0.7739831506477035,0.14828209764918623,0.03225806451612903,73.50240963855421,0.43792781752183346,album,False,Medium
CROOKED,G-DRAGON,0.6186895810955961,0.0108499095840868,0.06451612903225806,52.957142857142856,0.3255029892294757,album,False,Low
Camp,Beenzino,0.40100250626566414,0.0018083182640144665,0.0,20.6,0.20104374861203642,album,True,Low
Candy (Feat. Zion.T),Jay Park,0.6115288220551378,0.0108499095840868,0.0967741935483871,62.6,0.32837422261247234,single,False,Low
Chasing Lightning,LE SSERAFIM,0.6015037593984962,0.0,0.0,30.3,0.3007518796992481,single,False,Low
Chasing That Feeling,TOMORROW X TOGETHER,0.45112781954887216,0.007233273056057867,0.0,24.0,0.22773389169125344,album,False,Low
Cheers to youth,SEVENTEEN,0.6349206349206349,0.0036166365280289334,0.0,32.56666666666667,0.31854530841872614,album,False,Low
Chemical,Post Malone,0.9122807017543859,0.0,0.0,45.8,0.45614035087719296,single,True,Medium
Cherish (My Love),ILLIT,0.671400724032303,0.06329113924050633,0.0,44.28611111111111,0.3546877037883034,single,False,Low
Chill Kill,Red Velvet,0.7241633495503464,0.028933092224231464,0.0,41.21764705882353,0.37076160244244266,album,False,Low
Chk Chk Boom,Stray Kids,0.6439628482972136,0.028933092224231464,0.03225806451612903,47.21764705882353,0.33711296471910207,album,False,Low
Christmas Love,Jimin,0.6989888514389421,0.05063291139240506,0.45161290322580644,183.56206896551726,0.4550068797823539,single,False,Medium
Christmas Tree,V,0.8341687552213867,0.12839059674502712,0.03225806451612903,73.20416666666667,0.4620531695374273,single,False,Medium
Christmas Without You,Ava Max,0.8521303258145363,0.0036166365280289334,0.0,43.4,0.42715015386567684,single,False,Medium
Circles,Post Malone,0.8922305764411027,0.0018083182640144665,0.0,45.1,0.4466577836997557,album,False,Medium
Citi+,YANGHONGWON,0.40100250626566414,0.0,0.0,20.3,0.20050125313283207,single,False,Low
Click Like (Prod. Crush) (Feat. Paul Blanco),Various Artists,0.568922305764411,0.0054249547920434,0.03225806451612903,39.575,0.29254025222304436,single,False,Low
Closer Than This,Jimin,0.8088878913702165,0.6039783001808318,0.12903225806451613,180.84328358208955,0.611443887352261,single,False,Medium
